x1,x2,x1dot,x2dot,fX,mode_fsign,sigma,mode_true
-1.38201367959032,-2.25012631244325,-2.25012631244325,3.42954269288312,-0.44318118427068,2,-1,2
-1.8840354768782,0.470169216458674,0.470169216458674,0.685296895618031,-1.2472039127543,2,-1,2
-1.14393257638097,1.04293178189352,1.04293178189352,0.822102873147176,-0.14799898972641,2,-1,2
0.469433545364549,2.44189699964067,2.44189699964067,1.8003333365695,0.379661134751072,1,1,1
1.98309779915619,-0.0641317837258247,-0.0641317837258247,-1.79501999968501,-1.43915331506165,2,-1,2
-0.263580094697784,1.71105576835808,1.71105576835808,1.61049316841806,0.457624485528395,1,1,1
1.83053122113126,1.068531174677,1.068531174677,-4.34248191126736,-1.15770017972544,2,-1,2
1.73105093608144,-0.621612368651151,-0.621612368651151,-0.489978629007009,-0.977143048320119,2,-1,2
0.825222305145433,-1.27556981948613,-1.27556981948613,-0.968886831242052,0.161803007097971,1,1,1
-1.15043258331309,-2.47071936697712,-2.47071936697712,1.94969826303458,-0.154733873782084,2,-1,2
-1.91349890840496,0.395171866771265,0.395171866771265,0.861757650137395,-1.30216030158248,2,-1,2
-1.22342439368691,0.982596985574729,0.982596985574729,0.735302394185463,-0.240223387819925,2,-1,2
0.267031214874921,2.2547446551801,2.2547446551801,2.0749277378882,0.454031377785344,1,1,1
1.98097105896845,0.120758228731348,0.120758228731348,-2.33409786693478,-1.43576326403383,2,-1,2
1.53196273861652,-0.760366682671285,-0.760366682671285,-0.507817377413992,-0.657616925647128,2,-1,2
0.403631130833244,-1.63583881480938,-1.63583881480938,-1.43508989272656,0.41669870682513,1,1,1
-1.80195730704984,0.0854066304816696,0.0854066304816696,1.61004432637395,-1.09901816652295,2,-1,2
-1.23880034060836,0.919942629763523,0.919942629763523,0.746974831064618,-0.258777132890822,2,-1,2
0.179361479002554,2.14829049177776,2.14829049177776,2.07340867059659,0.473773726371238,1,1,1
1.96387423572329,0.229528816989452,0.229528816989452,-2.6195926223096,-1.40306533571923,2,-1,2
1.55514422847556,-0.741740014820504,-0.741740014820504,-0.503005620631874,-0.692824788532166,2,-1,2
0.454889804012895,-1.58727122562436,-1.58727122562436,-1.35295350140313,0.395038944147322,1,1,1
-1.71075523296801,-1.51551149312052,-1.51551149312052,4.63066617100495,-0.942655720314391,2,-1,2
-1.78652123182863,0.57595708160544,0.57595708160544,0.524220221894107,-1.07152558537769,2,-1,2
-0.938882717549715,1.20666481877263,1.20666481877263,0.970614693749621,0.061185456702216,1,1,1
0.955473042965443,2.60713957521374,2.60713957521374,-0.64527185856557,0.0371674461571176,1,1,1
1.95411731762845,-0.324380583473409,-0.324380583473409,-1.03982647965663,-1.3820479792242,2,-1,2
0.554487413172255,-2.72129752368001,-2.72129752368001,-2.05509812300795,0.348367839077001,1,1,1
-2.27890075768335,-0.606983675821788,-0.606983675821788,4.82421922272492,-2.05512118046179,2,-1,2
-1.99212713706424,0.582677957203752,0.582677957203752,0.262406524695865,-1.45267799169724,2,-1,2
-1.24298225255672,0.986956166985007,0.986956166985007,0.70508632503505,-0.263867941086412,2,-1,2
0.269603999372835,2.29321461890835,2.29321461890835,2.10693277374469,0.453269331964184,1,1,1
1.9918984552145,0.110048034413091,0.110048034413091,-2.31848354514216,-1.4570499158475,2,-1,2
1.54123157866307,-0.757048960740335,-0.757048960740335,-0.499990390561762,-0.67161638679155,2,-1,2
0.427354692205151,-1.59487932981634,-1.59487932981634,-1.38165193173048,0.406956312680215,1,1,1
-1.72508840506846,-1.45172516383306,-1.45172516383306,4.59359571573762,-0.966816297589036,2,-1,2
-1.77837148123289,0.58177391420288,0.58177391420288,0.520224232633742,-1.05726917327926,2,-1,2
-0.922651564904681,1.22130403520826,1.22130403520826,0.967065395186111,0.0759758798803803,1,1,1
0.64526911140863,-1.97685525787625,-1.97685525787625,-1.4224197697769,0.293317001975875,1,1,1
-1.92152767823882,-1.47835603421696,-1.47835603421696,5.90165923574371,-1.31876279482222,2,-1,2
-1.91133514324321,0.5724958180953,0.5724958180953,0.392388076622731,-1.29796029655149,2,-1,2
-1.12844879449502,1.06725252765217,1.06725252765217,0.836665494795181,-0.130761017195481,2,-1,2
0.526972551061098,2.4971245158118,2.4971245158118,1.65733254994919,0.351152782195317,1,1,1
1.98258554806011,-0.0977079672947481,-0.0977079672947481,-1.69623813775365,-1.43801875086035,2,-1,2
1.44813662977947,-0.816700552594606,-0.816700552594606,-0.552134699755756,-0.53475372557157,2,-1,2
0.235052167920316,-1.76268781084672,-1.76268781084672,-1.67828667232865,0.469628793277238,1,1,1
-1.85511034816319,-0.939515465223266,-0.939515465223266,4.14887572791983,-1.19514669032852,2,-1,2
-1.70615172248413,0.637799986244944,0.637799986244944,0.487345478822945,-0.933787667988313,2,-1,2
-0.775023385844705,1.32887056912952,1.32887056912952,0.99619602848064,0.198610374626773,1,1,1
-2.60969044208832,2.69331322352,2.69331322352,-13.0397634983254,-2.84366754740022,2,-1,2
-1.47463124315052,0.925015253097445,0.925015253097445,0.388166322288599,-0.572507352330659,2,-1,2
-0.163462305224521,1.91397019106346,1.91397019106346,1.86719675124052,0.478026175149474,1,1,1
1.92615306216532,0.725694853706255,0.725694853706255,-3.8928337349992,-1.33294605464658,2,-1,2
1.69498756145125,-0.658177322522122,-0.658177322522122,-0.462232734985139,-0.916328709279047,2,-1,2
0.742668689380914,-1.35553440763961,-1.35553440763961,-1.01750416416426,0.225512775483731,1,1,1
