x1,x2,x1dot,x2dot,fX,mode_fsign,sigma
0.853692460842194,2.37213114657576,2.37213114657576,0.332373112445686,0.773532873116392,1,1
0.899388215577813,2.37811565708372,2.37811565708372,0.289669612964045,0.54346787355785,1,1
0.945191168146768,2.3832735780597,2.3832735780597,0.246445620883082,0.300823523224633,1,1
0.991085322288837,2.38759500482255,2.38759500482255,0.202712180122437,0.0456064247773859,1,1
0.993313731492476,2.38778319843528,2.38778319843528,0.200577867725163,0.0329061932197591,1,1
0.995542315420051,2.38796939958718,2.38796939958718,0.198442384373539,0.0201764318248891,1,1
0.997771072210048,2.38815360718401,2.38815360718401,0.196305731381955,0.00741714457052896,1,1
1,2.38833582013283,2.38833582013283,0.194167910066416,-0.00537166446521392,2,-1
1.00000001,2.38833582013283,2.38833582013283,-3.38833583013283,-0.00537172190494978,2,-1
1.00501628853378,2.38121080148068,2.38121080148068,-3.38622709001446,-0.0342502550046855,2,-1
1.01001758453666,2.37409022956893,2.37409022956893,-3.38410781410559,-0.0631862364847182,2,-1
1.01500390738552,2.36697412652606,2.36697412652606,-3.38197803391158,-0.0921784302671373,2,-1
1.01997526650359,2.35986251441433,2.35986251441433,-3.37983778091791,-0.121225605486802,2,-1
1.04460793901908,2.32437258541473,2.32437258541473,-3.36898052443381,-0.26724348653822,2,-1
1.06886795833663,2.28899820098278,2.28899820098278,-3.35786615931942,-0.414454267863873,2,-1
1.0927565539335,2.25374204459575,2.25374204459575,-3.34649859852924,-0.562709942116063,2,-1
1.11627498294102,2.21860675873926,2.21860675873926,-3.33488174168028,-0.71186573766631,2,-1
1.15287268243236,2.16305454672309,2.16305454672309,-3.31592722915545,-0.950280447064425,2,-1
1.18854504814442,2.10782403566275,2.10782403566275,-3.29636908380718,-1.19005944544058,2,-1
1.22329753878229,2.05292518021461,2.05292518021461,-3.2762227189969,-1.43067255083312,2,-1
1.25713577364497,1.99836767931063,1.99836767931063,-3.2555034529556,-1.6716097438817,2,-1
1.2909104257444,1.94275505942363,1.94275505942363,-3.23366548516803,-1.918640400582,2,-1
1.32373512103718,1.88752165380249,1.88752165380249,-3.21125677483966,-2.16498899014094,2,-1
1.35561644352277,1.83267710533756,1.83267710533756,-3.18829354886033,-2.41016976259166,2,-1
1.38656113613856,1.77823078107279,1.77823078107279,-3.16479191721135,-2.65371846762651,2,-1
1.41729633260315,1.72287942957376,1.72287942957376,-3.14017576217691,-2.90104989663247,2,-1
1.44706350610039,1.66796496978543,1.66796496978543,-3.11502847588581,-3.1457506974944,2,-1
1.47587040987483,1.61349657790924,1.61349657790924,-3.08936698778407,-3.38739040005549,2,-1
1.50372495131744,1.55948313576969,1.55948313576969,-3.06320808708713,-3.62556097497126,2,-1
1.53121049388192,1.50477285401653,1.50477285401653,-3.03598334789845,-3.86493111614796,2,-1
1.55771894607114,1.4505553521346,1.4505553521346,-3.00827429820574,-4.09988854332318,2,-1
1.58325922685241,1.39683916128186,1.39683916128186,-2.98009838813427,-4.33006841520244,2,-1
1.60784040071463,1.34363250305284,1.34363250305284,-2.95147290376747,-4.55512872036569,2,-1
1.6319289262953,1.28990786407918,1.28990786407918,-2.92183679037448,-4.77903088493954,2,-1
1.65503958356009,1.236729371859,1.236729371859,-2.89176895541909,-4.99696169689134,2,-1
1.67718243675911,1.18410476063627,1.18410476063627,-2.86128719739538,-5.20862907896838,2,-1
1.69836768361904,1.13204144318916,1.13204144318916,-2.8304091268082,-5.41376362689314,2,-1
1.71896489573017,1.07961559258406,1.07961559258406,-2.79858048831423,-5.61566018847611,2,-1
1.73859112275717,1.02778612627388,1.02778612627388,-2.76637724903105,-5.81029017729502,2,-1
1.75725753916233,0.976559853253807,0.976559853253807,-2.73381739241614,-5.99743840388685,2,-1
1.7749754378063,0.925943252363111,0.925943252363111,-2.70091869016941,-6.17691167286384,2,-1
1.79203277319235,0.875099937476498,0.875099937476498,-2.66713271066885,-6.35137998610641,2,-1
1.80813307891933,0.824899623644846,0.824899623644846,-2.63303270256418,-6.51757477237368,2,-1
1.82328859227589,0.77534808747082,0.77534808747082,-2.59863667974671,-6.67535907920341,2,-1
1.83751165120127,0.726450769832628,0.726450769832628,-2.5639624210339,-6.82461678689555,2,-1
1.85043482170416,0.679628118190955,0.679628118190955,-2.53006293989512,-6.96122229751131,2,-1
1.86250298355669,0.633430782586054,0.633430782586054,-2.49593376614274,-7.0896370647089,2,-1
1.87372767150915,0.587862840782847,0.587862840782847,-2.461590512292,-7.20980777295089,2,-1
1.88412048809396,0.542928088473529,0.542928088473529,-2.42704857656749,-7.32169718045582,2,-1
1.89318991541847,0.501039373952377,0.501039373952377,-2.39422928937085,-7.41982601246251,2,-1
1.90153642652438,0.459722276119911,0.459722276119911,-2.36125870264429,-7.51053022067404,2,-1
1.90916997740009,0.418979314682151,0.418979314682151,-2.32814929208224,-7.59381527856966,2,-1
1.91610056268534,0.378812796398278,0.378812796398278,-2.29491335908362,-7.66969766638047,2,-1
1.92197148817349,0.34166210011554,0.34166210011554,-2.26363358828903,-7.73417138298098,2,-1
1.9272410429376,0.305021994928158,0.305021994928158,-2.23226303786575,-7.79218608192046,2,-1
1.93191756162073,0.268893880432517,0.268893880432517,-2.20081144205324,-7.8437798456413,2,-1
1.93600939815334,0.23327900040819,0.23327900040819,-2.16928839856153,-7.88899797898513,2,-1
1.93928718119084,0.20072792817477,0.20072792817477,-2.14001510936561,-7.92526138265814,2,-1
1.94207654752769,0.168619451920419,0.168619451920419,-2.11069599944811,-7.95613911662006,2,-1
1.94438418902856,0.13695420801752,0.13695420801752,-2.08133839704608,-7.9816825865063,2,-1
1.94621680489306,0.105732724100362,0.105732724100362,-2.05194952899342,-8.00194766689903,2,-1
1.94747179172127,0.0778510658937022,0.0778510658937022,-2.02532285761497,-8.01579150979291,2,-1
1.94834794285239,0.0503336756981939,0.0503336756981939,-1.99868161855058,-8.02540618001598,2,-1
1.94885024171391,0.0231807172441204,0.0231807172441204,-1.97203095895803,-8.03084183850072,2,-1
1.94898367266308,-0.00360771492572046,-0.00360771492572046,-1.94537595773736,-8.03215114134508,2,-1
1.9488099247474,-0.0261549576059119,-0.0261549576059119,-1.92265496714149,-8.0300506240752,2,-1
1.94837485942197,-0.0484373310266332,-0.0484373310266332,-1.89993752839533,-8.02502716680562,2,-1
1.94768156440531,-0.0704548943896597,-0.0704548943896597,-1.87722667001565,-8.01711732488845,2,-1
1.94673312616842,-0.0922077416585158,-0.0922077416585158,-1.85452538450991,-8.0063587473698,2,-1
1.94556902445457,-0.113108003056472,-0.113108003056472,-1.8324610213981,-7.99320092039341,2,-1
1.94416938756797,-0.13375819364326,-0.13375819364326,-1.81041119392471,-7.97742213302488,2,-1
1.94253704974634,-0.154158493382124,-0.154158493382124,-1.78837855636422,-7.95905973317072,2,-1
1.94067484272476,-0.174309111854301,-0.174309111854301,-1.76636573087046,-7.93815187397021,2,-1
1.93828431076024,-0.196895509721802,-0.196895509721802,-1.74138880103843,-7.9113643018832,2,-1
1.93560498154821,-0.219160461076967,-0.219160461076967,-1.71644452047124,-7.88140085747048,2,-1
1.93264099204283,-0.241104410383586,-0.241104410383586,-1.69153658165924,-7.84832085410242,2,-1
1.92939647263808,-0.262727848762067,-0.262727848762067,-1.66666862387602,-7.81218465853053,2,-1
1.92556003165247,-0.285848155088845,-0.285848155088845,-1.63971187656362,-7.76955116126539,2,-1
1.92140288076391,-0.308591848995993,-0.308591848995993,-1.61281103176792,-7.72346548980697,2,-1
1.91693028165379,-0.330959743751411,-0.330959743751411,-1.58597053790238,-7.67400861302288,2,-1
1.91214748343285,-0.352952713489031,-0.352952713489031,-1.55919476994382,-7.62126255202455,2,-1
1.90673537628737,-0.375895639047913,-0.375895639047913,-1.53083973723945,-7.5617487465125,2,-1
1.90098569740718,-0.398418110676029,-0.398418110676029,-1.50256758673115,-7.49872057852343,2,-1
1.89490468140704,-0.420521396491595,-0.420521396491595,-1.47438328491544,-7.43227941005837,2,-1
1.88849854255335,-0.442206836559885,-0.442206836559885,-1.44629170599347,-7.36252742346228,2,-1
1.88144467216319,-0.464480459697237,-0.464480459697237,-1.41696421246595,-7.28600726803215,2,-1
1.87404780633132,-0.486298663501565,-0.486298663501565,-1.38774914282975,-7.20608473948415,2,-1
1.86631501719757,-0.507663238774175,-0.507663238774175,-1.3586517784234,-7.12287941919785,2,-1
1.85825334725584,-0.528576056232052,-0.528576056232052,-1.32967729102379,-7.03651128359132,2,-1
1.84953976531949,-0.549820144920501,-0.549820144920501,-1.29971962039899,-6.94358909286105,2,-1
1.84048680439914,-0.570581299008675,-0.570581299008675,-1.26990550539047,-6.84751973111266,2,-1
1.83110224971872,-0.590861882720276,-0.590861882720276,-1.24024036699844,-6.74843806084876,2,-1
1.8213938463075,-0.610664345192652,-0.610664345192652,-1.21072950111485,-6.64647876560201,2,-1
1.81104024387438,-0.630607725025855,-0.630607725025855,-1.18043251884852,-6.53834928683623,2,-1
1.80035817115947,-0.650047173835408,-0.650047173835408,-1.15031099732407,-6.42744375530619,2,-1
1.78935601010538,-0.668985664428698,-0.668985664428698,-1.12037034567668,-6.31390880288662,2,-1
1.77804209092921,-0.687426256752646,-0.687426256752646,-1.09061583417656,-6.19789020631061,2,-1
